,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
1009,Pilaitė,I. Simonaitytės g.,370,"9,25",2,40,2,4
1010,Pilaitė,I. Simonaitytės g.,370,"9,25",1,40,2,4
1011,Justiniškės,Sviliškių g.,450,"7,26",2,62,6,8
1012,Žemieji Paneriai,Vaduvos g.,400,"5,88",3,68,3,10
1013,Šnipiškės,Kalvarijų g.,200,"8,33",1,24,1,9
1014,Senamiestis,S. Skapo g.,500,"12,50",1,40,1,3
1015,Karoliniškės,Sietyno g.,370,"10,28",2,36,4,4
1016,Žirmūnai,Tuskulėnų g.,150,"10,00",1,15,10,12
1017,Žirmūnai,Trimitų g.,600,"11,54",2,52,2,5
1018,Pašilaičiai,Budiniškių g.,349,"13,42",1,26,5,5
1019,"Vilnius, Pašilaičiai",Laisvės pr.,97000,1 617,2,60,9,9
1020,Šnipiškės,Rinktinės g.,300,"15,00",1,20,3,4
1021,Lazdynėliai,Lazdynėlių g.,370,"10,28",1,36,2,5
1022,Fabijoniškės,P. Žadeikos g.,350,"10,00",2,35,7,14
1023,Žvėrynas,Pieninės g.,530,"11,52",2,46,5,6
1024,Pašilaičiai,Pašilaičių g.,150,"12,50",1,12,2,9
1025,Karoliniškės,Apolinaro Juozo Povilaičio g.,250,"7,14",1,35,1,9
1026,Šnipiškės,Šilutės g.,320,"12,80",1,25,1,1
1027,Fabijoniškės,Fabijoniškių g.,230,"5,75",1,40,4,12
1028,Naujamiestis,Kauno g.,390,"15,60",2,25,4,4
1029,Šnipiškės,Linkmenų g.,650,"12,11",3,53.66,1,5
1030,Senamiestis,Gedimino pr.,700,"7,78",4,90,4,4
1031,Senamiestis,Šv. Mikalojaus g.,849,"14,64",2,58,3,3
1032,Pašilaičiai,Medeinos g.,275,"7,64",1,36,3,9
1033,Senamiestis,Gaono g.,430,"10,00",2,43,1,4
1034,Žirmūnai,Žirmūnų g.,300,"9,09",1,33,6,9
1035,Naujamiestis,Savanorių pr.,550,"11,22",2,49,2,9
1036,Senamiestis,Teatro g.,1900,"12,18",4,156,2,5
1037,Senamiestis,Kauno g.,750,"14,15",3,53,4,4
1038,Senamiestis,Gedimino pr.,350,"17,50",1,20,5,5
1039,Naujamiestis,Švitrigailos g.,300,"13,64",1,22,4,4
1040,Karoliniškės,Loretos Asanavičiūtės g.,300,"4,69",3,64,3,9
1041,Šnipiškės,Giedraičių g.,300,"17,65",1,17,5,5
1042,Naujamiestis,Geležinio Vilko g.,250,"9,26",1,27,1,5
