,Rajonas,Gatve,Kaina,Kvadrato kaina,Kambariai,Plotas,Aukstas,Is viso aukstu
2561,Šnipiškės,Kalvarijų g.,19170,433,2,44.26,1,1
2562,Naujamiestis,Gerosios Vilties g.,128000,1931,3,66.29,2,6
2563,Karoliniškės,Loretos Asanavičiūtės g.,62000,1240,2,50,5,9
2564,Naujininkai,Gudų g.,9500,402,1,23.64,2,2
2565,Naujininkai,Gudų g.,19600,503,4,39,1,1
2566,Liepkalnis,Liepkalnio g.,22000,1940,1,11.34,4,5
2567,Senamiestis,Raugyklos g.,110000,3653,1,30.11,1,3
2568,Senamiestis,K. Kalinausko g.,97314,2050,2,47.47,2,2
2569,Senamiestis,Olimpiečių g.,740000,5827,3,127,3,4
2570,Pašilaičiai,Laisvės pr.,68000,1598,2,42.55,5,6
2571,Fabijoniškės,S. Stanevičiaus g.,106000,1342,4,79,8,9
2572,Balsiai,Želmenų g.,110000,1170,4,94,1,2
2573,Pašilaičiai,Leičių g.,63300,1319,2,48,6,9
2574,Pašilaičiai,Laisvės pr.,62000,1378,2,45,8,9
2575,Antakalnis,Rūtų g.,524857,4374,3,120,1,4
2576,Šeškinė,Ozo g.,95000,2030,2,46.79,4,5
2577,Žirmūnai,Žirmūnų g.,29000,1239,1,23.4,3,5
2578,Lazdynėliai,Lazdynėlių g.,76000,1651,2,46.03,2,4
2579,Lazdynėliai,Lazdynėlių g.,76000,1651,2,46.03,2,4
2580,Grigiškės,Kovo 11-osios g.,64900,1202,2,54,1,2
2581,Antakalnis,Antakalnio g.,114000,1713,2,66.54,4,4
2582,Šnipiškės,Giedraičių g.,139900,1930,3,72.49,4,4
2583,Naujamiestis,Gerosios Vilties g.,171000,1901,4,89.93,3,6
2584,Šeškinė,Laisvės pr.,78800,1876,2,42,9,9
2585,Senamiestis,Gaono g.,165600,2367,1,69.96,1,3
2586,Šnipiškės,Kernavės g.,150000,1746,4,85.91,5,6
2587,Šnipiškės,Kernavės g.,150000,1746,4,85.91,5,6
2588,Šnipiškės,Konstitucijos pr.,220000,3860,2,57,22,29
2589,Žvėrynas,Birutės g.,815233,7479,3,109,3,3
2590,Šnipiškės,Konstitucijos pr.,345000,2654,4,130,13,29
2591,Šnipiškės,Konstitucijos pr.,284500,3197,3,89,19,29
2592,Senamiestis,Savičiaus g.,290000,3494,4,83,1,3
2593,Viršuliškės,Pilaitės pr.,155100,1919,4,80.83,12,16
2594,Karoliniškės,Algimanto Petro Kavoliuko g.,134950,1754,3,76.96,5,5
2595,Pilaitė,Bitėnų g.,75000,1430,3,52.44,2,5
2596,Naujamiestis,Z. Sierakausko g.,133068,2629,2,50.62,1,4
2597,Antakalnis,L. Sapiegos g.,110300,2209,2,49.93,3,7
2598,Antakalnis,L. Sapiegos g.,111300,2224,2,50.04,3,7
2599,Antakalnis,L. Sapiegos g.,144800,2115,3,68.46,3,7
2600,Antakalnis,L. Sapiegos g.,117200,2176,2,53.86,3,7
2601,Antakalnis,L. Sapiegos g.,111300,2184,2,50.96,3,7
2602,Antakalnis,L. Sapiegos g.,147500,2053,3,71.84,3,7
2603,Naujamiestis,Gerosios Vilties g.,56000,2150,1,26.05,1,6
2604,Šeškinė,Siesikų g.,103700,1863,3,55.66,2,9
2605,Šeškinė,Ozo g.,75000,1908,2,39.31,3,5
